model,Pi_B,seed_index,seed,K,R,Phi
M2p_HMM,0.4,11,2040011,0.873562384012353,1.4724388477850843,8.437500000000003e-05
M2p_HMM,0.4,12,2040012,0.878277806195493,1.4605042565887607,4.8437500000000005e-05
M2p_HMM,0.4,13,2040013,0.8695765436073069,1.4781809407624407,1.9921875000000005e-05
M2p_HMM,0.4,14,2040014,0.8748181695799264,1.4549139712630397,3.2812500000000005e-05
M2p_HMM,0.4,15,2040015,0.87609606672327,1.4680058813574282,5.1171875000000016e-05
M2p_HMM,0.4,16,2040016,0.8762434952896798,1.477792204753617,5.429687500000002e-05
M2p_HMM,0.4,17,2040017,0.871377756188799,1.4822558359370501,6.406250000000002e-05
M2p_HMM,0.4,18,2040018,0.8743644517040532,1.4701660080119825,1.9921875000000005e-05
M2p_HMM,0.4,19,2040019,0.8756041455521937,1.4743578531893509,3.75e-05
M2p_HMM,0.5,0,2050000,0.880561842915263,1.5655323462444013,1.9921875000000005e-05
M2p_HMM,0.5,1,2050001,0.8760989716580649,1.576336853515136,3.5546875e-05
M2p_HMM,0.5,2,2050002,0.8720248691303556,1.5911667334655724,6.679687499999999e-05
M2p_HMM,0.5,3,2050003,0.8706533066417139,1.5741395589601745,0.000146875
M2p_HMM,0.5,4,2050004,0.8803908023088942,1.5588954745120556,7.031250000000002e-05
M2p_HMM,0.5,5,2050005,0.8759917945698004,1.5827958235732218,5.312500000000002e-05
M2p_HMM,0.5,6,2050006,0.8741673612634221,1.5826852982098003,8.437500000000003e-05
M2p_HMM,0.5,7,2050007,0.8790274671306662,1.5793287774126983,8.242187500000002e-05
M2p_HMM,0.5,8,2050008,0.8747176150198064,1.5768639553010835,4.843750000000001e-05
M2p_HMM,0.5,9,2050009,0.8692743888756136,1.5876222733987035,5.1171875e-05
M2p_HMM,0.5,10,2050010,0.8709855655622273,1.5854556203817247,0.000101171875
M2p_HMM,0.5,11,2050011,0.8669904182426117,1.5643234447135783,1.9921875000000005e-05
M2p_HMM,0.5,12,2050012,0.8686005361770656,1.5754516837085168,3.28125e-05
M2p_HMM,0.5,13,2050013,0.864929196018355,1.5661520992733537,6.406250000000002e-05
M2p_HMM,0.5,14,2050014,0.8762049846695489,1.564244136474369,1.9921875000000005e-05
M2p_HMM,0.5,15,2050015,0.8776765559466501,1.5567035285196584,1.40625e-05
M2p_HMM,0.5,16,2050016,0.8730899631757681,1.5837690984878445,5.429687500000002e-05
M2p_HMM,0.5,17,2050017,0.8782994385999734,1.5556035662721435,5.312500000000002e-05
M2p_HMM,0.5,18,2050018,0.8690992450911847,1.5628232316779214,3.28125e-05
M2p_HMM,0.5,19,2050019,0.8835213594370588,1.5829447869630866,3.8671875e-05
M2p_HMM,0.6000000000000001,0,2060000,0.8736755265507027,1.683321962711597,0.00010000000000000002
M2p_HMM,0.6000000000000001,1,2060001,0.8729334467038434,1.6991592498742822,0.000144921875
M2p_HMM,0.6000000000000001,2,2060002,0.8758424939338274,1.6887578349777126,5.3125000000000004e-05
M2p_HMM,0.6000000000000001,3,2060003,0.8723557637718065,1.6656453931743027,0.00010000000000000002
M2p_HMM,0.6000000000000001,4,2060004,0.8782652453634002,1.6897194050714455,0.00011679687500000001
M2p_HMM,0.6000000000000001,5,2060005,0.8757330018205897,1.683553797395557,0.00010000000000000002
M2p_HMM,0.6000000000000001,6,2060006,0.8650055772950924,1.7153533437838855,5.1171875000000016e-05
M2p_HMM,0.6000000000000001,7,2060007,0.868969220199423,1.6812491675702192,5.312500000000002e-05
M2p_HMM,0.6000000000000001,8,2060008,0.8902096394559876,1.7008278563320276,7.031250000000002e-05
M2p_HMM,0.6000000000000001,9,2060009,0.8750253884653133,1.696129552261724,2.5e-05
M2p_HMM,0.6000000000000001,10,2060010,0.8733148140687744,1.7052079502610038,3.7500000000000003e-05
M2p_HMM,0.6000000000000001,11,2060011,0.875625696566674,1.6973065861264822,2.9296875000000006e-05
M2p_HMM,0.6000000000000001,12,2060012,0.885601827600366,1.6845551224775277,0.000116796875
M2p_HMM,0.6000000000000001,13,2060013,0.8809245609424459,1.7102819825981914,0.00018593749999999996
M2p_HMM,0.6000000000000001,14,2060014,0.8712656021827934,1.68639320180592,8.593750000000002e-05
